time (ms),time (ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
9188.572,918.8572,0.544662,-0.959167,1.218002,1.643225,4015.432245
9218.121,921.8121,-0.800522,-0.7276,1.399094,1.76853,4015.461794
9247.669,924.7669,-0.367264,-1.438049,0.994583,1.786635,4015.491342
9277.215,927.7215,0.130539,-1.742783,1.181229,2.109415,4015.520888
9306.761,930.6761,0.686371,-1.361298,-0.552399,1.621536,4015.550434
9336.302,933.6302,0.32991,-1.302048,-0.910736,1.62284,4015.579975
9365.854,936.5854,-0.527496,-0.710617,-0.557404,1.04591,4015.609527
9395.402,939.5402,-1.031998,0.188965,0.087982,1.052838,4015.639075
9424.948,942.4948,-1.138382,-1.236969,-0.671417,1.810195,4015.668621
9454.492,945.4492,-0.264999,-2.108551,-0.93721,2.322622,4015.698165
9484.035,948.4035,0.444977,-3.08667,-0.479507,3.155228,4015.727708
9513.557,951.3557,0.182053,-2.110718,1.033768,2.357318,4015.75723
9543.127,954.3127,0.443634,-2.152405,1.677597,2.764777,4015.7868
9572.67,957.267,0.553024,-1.192017,1.660126,2.117252,4015.816343
9602.215,960.2215,3.313705,3.430084,1.425751,4.97784,4015.845888
9631.758,963.1758,-2.092117,-7.852768,-0.758911,8.162038,4015.875431
9661.303,966.1303,1.220322,0.069977,0.800369,1.461052,4015.904976
9690.844,969.0844,1.496445,0.653275,1.510208,2.22415,4015.934517
9720.387,972.0387,2.157776,-1.304947,1.420853,2.894427,4015.96406
9749.932,974.9932,0.998322,-0.657532,1.304123,1.769104,4015.993605
9779.478,977.9478,0.428528,-0.541214,0.843597,1.090048,4016.023151
9809.022,980.9022,0.490234,-0.486679,0.803772,1.059828,4016.052695
9838.566,983.8566,0.971741,-0.253418,0.519882,1.130831,4016.082239
9868.109,986.8109,0.870972,-0.488007,0.799896,1.279287,4016.111782
9897.65,989.765,0.284912,-0.585342,1.197174,1.362728,4016.141323
9927.195,992.7195,-0.563171,-0.840302,1.335541,1.675392,4016.170868
9956.737,995.6737,0.028656,-1.531738,1.156097,1.919272,4016.20041
9986.281,998.6281,0.170959,-1.590424,0.800644,1.788772,4016.229954
10015.825,1001.5825,0.610489,-1.780853,-0.392166,1.923,4016.259498
10045.375,1004.5375,0.416092,-1.169693,-0.672913,1.412135,4016.289048
10074.921,1007.4921,-0.649048,-0.546448,-0.742371,1.127379,4016.318594
10104.47,1010.447,-1.266235,0.253357,-0.203568,1.30728,4016.348143
10134.015,1013.4015,-1.148178,-1.467392,-0.843323,2.045176,4016.377688
10163.559,1016.3559,-0.206055,-2.172302,-0.78952,2.320495,4016.407232
10193.101,1019.3101,0.085922,-3.054123,-0.072678,3.056196,4016.436774
10222.647,1022.2647,0.197311,-1.991135,1.165222,2.315446,4016.46632
10252.189,1025.2189,0.845596,-1.420044,1.396271,2.163592,4016.495862
10281.734,1028.1734,0.407303,-1.31601,1.779938,2.250768,4016.525407
10311.277,1031.1277,3.522537,3.958664,0.541412,5.326576,4016.55495
10340.822,1034.0822,-1.97467,-7.758408,0.388382,8.015176,4016.584495
10370.365,1037.0365,0.831131,0.093765,0.863434,1.202118,4016.614038
10399.909,1039.9909,1.263672,0.793823,1.389893,2.039319,4016.643582
10429.449,1042.9449,2.122955,-1.297501,1.443558,2.876509,4016.673122
10458.991,1045.8991,1.096588,-0.78067,1.500626,2.015894,4016.702664
10488.54,1048.854,0.345703,-0.356827,0.835434,0.972001,4016.732213
10518.087,1051.8087,0.462708,-0.32843,0.875305,1.043132,4016.76176
10547.629,1054.7629,0.838638,-0.257248,0.482986,1.001382,4016.791302
10577.181,1057.7181,1.351364,-0.439224,0.643646,1.559931,4016.820854
10606.68,1060.668,0.443008,-0.699829,1.281967,1.526256,4016.850353
10636.226,1063.6226,-0.699844,-0.798676,1.498734,1.836809,4016.879899
10665.773,1066.5773,-0.118591,-0.953201,0.953308,1.353312,4016.909446
10695.319,1069.5319,0.010132,-2.17131,1.288986,2.525109,4016.938992
10724.858,1072.4858,0.740677,-1.500977,-0.41153,1.723627,4016.968531
10754.404,1075.4404,0.571198,-1.231201,-0.564926,1.470124,4016.998077
10783.947,1078.3947,-0.396667,-0.709854,-0.729584,1.092488,4017.02762
